original_label,original_distance,transformed_label,transformed_distance
x0,3,388579,y0,1,649811
x1,3,532980,y1,1,971076
x2,2,730897,y2,1,927763
x3,3,360851,y3,1,490909
x4,3,015987,y4,1,775614
x5,3,172988,y5,1,885052
x6,2,838158,y6,1,800433
x7,2,871229,y7,1,450139
x8,3,299381,y8,1,795692
x9,3,087115,y9,1,742022
x10,3,156802,y10,1,414826
x11,3,034430,y11,1,416643
x12,2,686734,y12,1,802062
x13,3,044798,y13,1,880567
x14,2,875685,y14,1,374539
x15,3,629913,y15,1,847056
x16,3,270368,y16,1,924644
x17,3,275804,y17,1,350066
x18,3,308249,y18,1,859572
x19,3,053723,y19,1,902964
x20,3,400971,y20,1,335521
x21,2,790124,y21,1,696321
x22,3,383360,y22,1,517594
x23,3,300674,y23,1,562078
x24,2,662742,y24,1,127530
x25,2,815785,y25,1,663936
x26,2,715642,y26,1,434936
x27,3,611556,y27,1,980364
x28,2,841718,y28,1,386961
x29,3,012271,y29,1,538066
x30,3,708386,y30,1,870092
x31,3,605520,y31,1,667686
x32,3,183404,y32,1,982473
x33,3,402809,y33,1,696633
x34,3,152863,y34,1,476858
x35,2,631238,y35,1,396778
x36,2,629506,y36,1,728568
x37,2,632090,y37,1,301502
x38,3,439966,y38,1,842819
x39,3,015215,y39,1,551635
x40,2,485924,y40,1,679824
x41,3,148967,y41,1,777293
x42,3,066804,y42,1,978669
x43,3,089604,y43,1,350651
x44,2,875735,y44,1,497339
x45,2,402672,y45,1,481455
x46,3,001459,y46,1,856750
x47,3,421436,y47,1,867668
x48,3,155274,y48,1,451175
x49,2,796306,y49,1,034965
x50,3,038686,y50,1,508581
x51,2,994322,y51,1,948695
x52,3,244859,y52,1,775981
x53,3,601563,y53,1,954757
x54,3,183359,y54,1,472927
x55,2,997753,y55,1,312993
x56,3,528218,y56,1,696786
x57,2,887400,y57,1,614363
x58,3,450075,y58,1,867777
x59,2,645523,y59,1,852732
x60,2,803123,y60,1,555905
x61,2,944569,y61,1,769539
x62,3,477547,y62,1,993138
x63,3,358164,y63,1,955934
x64,3,357642,y64,1,650231
x65,3,443087,y65,1,528349
x66,2,323383,y66,1,586260
x67,3,260604,y67,1,567284
x68,2,637323,y68,1,278682
x69,2,780357,y69,1,268282
x70,3,523788,y70,1,706108
x71,3,102251,y71,1,917766
x72,3,098201,y72,0,898885
x73,2,900586,y73,1,388794
x74,2,944624,y74,1,393890
x75,3,476114,y75,1,341538
x76,3,219550,y76,1,818318
x77,3,042796,y77,1,391970
x78,2,942410,y78,1,549426
x79,3,096407,y79,1,864494
x80,2,898997,y80,1,745389
x81,2,805307,y81,1,971739
x82,3,253586,y82,1,851534
x83,3,290163,y83,1,805556
x84,2,810642,y84,1,558070
x85,3,350828,y85,1,839634
x86,2,848341,y86,1,285493
x87,3,138292,y87,1,121839
x88,3,365988,y88,1,938860
x89,3,430689,y89,1,711690
x90,3,148444,y90,1,473386
x91,2,990043,y91,1,328630
x92,3,337232,y92,1,877676
x93,3,374114,y93,1,602766
x94,3,344223,y94,1,911298
x95,3,123335,y95,1,683792
x96,3,069401,y96,1,515778
x97,2,780304,y97,1,517795
x98,3,238628,y98,1,937056
x99,3,409365,y99,1,963698
